rtt_mean,rtt_var,rssi_mean,rssi_var,gmm_mean_1,gmm_mean_2,gmm_var_1,gmm_var_2,gmm_weight_1,gmm_weight_2,label
0.825,0.844375,37.0,0.0,1.1155696100202241,-0.1506435651460818,0.6391399938116274,0.2981227786941064,0.7705207813983925,0.22947921860160742,1
0.665,0.8627750000000001,38.0,0.0,1.1267517900613682,-0.25248770269621956,0.4994021488752618,0.31935425624027286,0.6652127549377505,0.3347872450622496,1
0.67,0.7911000000000001,37.955,0.042975000000000006,-0.23966588506625838,1.1070471391092376,0.30584035712245433,0.4356664223761447,0.3245287832400767,0.6754712167599232,1
0.78,0.7915999999999999,37.0,0.0,1.0340462444300025,-0.15980073054897367,0.6062628948280856,0.3552494345443015,0.787203678734056,0.21279632126594394,1
0.69,0.8738999999999999,38.0,0.0,0.9959780411657091,-0.2632117798735979,0.6425766023400348,0.394270106994092,0.7570040385863652,0.2429959614136349,1
0.73,0.8271000000000001,38.0,0.0,0.5876864834982831,1.9061392369736168,0.6510586306315712,0.7313057616138577,0.8920602075981939,0.10793979240180603,1
0.84,0.9944000000000002,37.005,0.004975000000000002,0.8021314486298283,0.8613081838625184,0.2106112161485232,1.4341692488138327,0.36007704343153946,0.6399229565684607,1
0.765,0.919775,37.33,0.2211,0.9366736228359206,-0.007684058168738008,0.8410687109004018,0.5443387094722509,0.8182112283416962,0.18178877165830373,1
0.805,0.876975,37.0,0.0,3.7328040361222046,0.7450774191030123,0.20032555106448952,0.7117925335684722,0.02005624629631342,0.9799437537036866,1
0.755,0.9149749999999999,37.85,0.12749999999999995,1.7503100440609172,0.6429676709532706,1.8576868629920362,0.6848061018435667,0.10117225870470621,0.8988277412952937,1
0.68,0.8076000000000001,38.0,0.0,-0.2556221582273276,1.237057333967592,0.26817742216348034,0.297258764272863,0.37319286349172237,0.6268071365082776,1
0.63,0.8231000000000002,38.0,0.0,0.8416994310981482,-0.9999999999999999,0.540115997039724,1e-06,0.8850521276580302,0.1149478723419698,1
0.78,0.8016,37.555,0.24697500000000006,0.6773960041527608,1.6930782619969493,0.6467124421401295,1.2525648908725575,0.8989802223531815,0.10101977764681845,1
0.825,0.704375,37.0,0.0,-0.13964481711738416,1.2034446362605378,0.1464861237323307,0.4149595699541583,0.2817717280920752,0.7182282719079248,1
0.675,0.729375,38.0,0.0,1.2297769011120196,-0.21856454894186358,0.23612062796692904,0.22966286720800577,0.6169571055973161,0.3830428944026839,1
0.755,0.8849749999999998,37.32,0.21760000000000002,1.0345282069495694,-0.20411325659739962,0.6805032373658731,0.39856262265607023,0.7743267804477394,0.22567321955226055,1
0.675,0.799375,38.0,0.0,1.117250159779083,-0.23516709777473713,0.4400624268039076,0.30793086133060815,0.6729928154133421,0.32700718458665784,1
0.74,0.7824000000000001,37.34,0.2244,1.2051330248673955,-0.2111280741057012,0.38000550179980147,0.25819444219174026,0.6715767839668452,0.32842321603315483,1
0.735,0.794775,38.0,0.0,0.8755488821826821,-0.9999999999999999,0.5955528353300951,1e-06,0.925062533150766,0.07493746684923396,1
0.67,0.8411,38.0,0.0,-0.054033212901660035,0.9022521294104581,0.4359710374294815,0.7489574668005807,0.24286906756190227,0.7571309324380977,1
0.75,0.7475,38.0,0.0,-0.19291871210276,1.1970368035806456,0.23261507358191416,0.3702466238375882,0.32161950403200407,0.6783804959679959,1
0.615,0.7967749999999999,38.0,0.0,0.3990714979826987,1.9999999999999998,0.5753111574047938,1e-06,0.8651229572431165,0.13487704275688348,1
0.86,0.7604,37.005,0.004975,1.0543953031314475,-0.13777906920906585,0.6202453534364334,0.2902557914506906,0.8369405452410423,0.1630594547589577,1
0.71,0.7758999999999999,37.895,0.11397499999999999,0.45531745033252863,2.0,0.5356819534571641,1e-06,0.8351230486016059,0.1648769513983941,1
0.915,0.937775,36.985,0.014775000000000003,1.2528818353520441,0.0,0.8607419402513178,1e-06,0.7303162789832419,0.269683721016758,1
0.83,0.9011000000000001,37.005,0.004975,1.0988964826442233,-0.15420342796648578,0.7079645532036375,0.3747055509548815,0.7854149694151887,0.21458503058481126,1
0.71,0.8659,37.96,0.0384,-0.2579007351642392,1.0051935521857533,0.394362418017085,0.6368550994373934,0.23370666397761827,0.7662933360223817,1
0.83,0.9211000000000001,37.54,0.6083999999999999,0.02883429031946987,1.0171240530735475,0.44356037569339185,0.8477048612050155,0.1893412844347274,0.8106587155652725,1
0.73,0.7071,38.0,0.0,1.9999999999999998,0.4972533287254077,1e-06,0.4869284635141196,0.15488084300807847,0.8451191569919215,1
0.785,0.738775,37.0,0.0,1.0259441338951831,-0.1771361843844669,0.5472346799843185,0.3461101570100685,0.7997273081154538,0.20027269188454624,1
0.815,0.9807749999999998,37.075,0.189375,1.0055457693346852,0.06923299603052117,0.9285862138842079,0.4867676705580061,0.7964934637575574,0.20350653624244264,1
0.615,0.836775,38.0,0.0,0.3513860552199594,1.9999999999999998,0.561445925964166,1e-06,0.8400996512162753,0.15990034878372475,1
0.785,0.8287749999999998,37.14,0.14039999999999997,0.6018639668820628,1.962834848225154,0.6114722363297264,0.6233608271413643,0.8654372142501632,0.1345627857498369,1
0.72,0.8615999999999999,38.0,0.0,-0.21987984346804157,1.190082063899182,0.2872874620909007,0.48604682148404377,0.3334005418465175,0.6665994581534824,1
0.81,0.7638999999999999,37.25,0.1875,1.224947867554164,-0.18012306124968552,0.4083614247895311,0.22107452137753963,0.7046783482258687,0.2953216517741313,1
0.725,0.909375,37.705,0.207975,0.909333043036794,0.0653557304733712,0.8643896365342479,0.5136369721424292,0.7815900495276163,0.21840995047238373,1
0.815,0.9007749999999999,36.875,0.119375,1.077322352112539,-0.18119792822247244,0.704756951449808,0.39144455869487965,0.791562872516675,0.20843712748332494,1
0.835,0.7677749999999999,36.935,0.060774999999999996,-0.17859255028536208,1.1526192933795627,0.25805262037097493,0.5046843188313723,0.2385941012251923,0.7614058987748076,1
0.81,0.7539000000000001,37.005,0.004975,1.219825434701625,-0.1564252146762662,0.4344698707479957,0.17712057615464744,0.702215991769465,0.29778400823053497,1
0.685,0.765775,37.7,0.2799999999999999,1.1592626444655498,-0.2094792386873718,0.3841102082935305,0.26130249314267745,0.6535046890118701,0.34649531098812986,1
0.665,0.802775,37.005,0.004975,1.1734664610647794,-0.21948579303414462,0.39773490112270105,0.2753051910214638,0.6349720820878418,0.36502791791215816,1
0.68,0.9076000000000001,38.0,0.0,1.100758328637824,-0.2443116081471809,0.5969535285437626,0.3467600131345204,0.687184794536762,0.312815205463238,1
0.87,0.9031,37.165,0.3777749999999999,1.9203995319073122,0.6877624561507897,1.143114566055707,0.6368274412014434,0.14784363332359007,0.8521563666764099,1
0.85,1.0475000000000003,37.005,0.004975,0.7202334966207548,3.8162633023767376,0.6732308992655462,0.4191020561787548,0.9580861582346561,0.041913841765343934,1
0.885,0.8917750000000001,37.175,0.38437499999999986,-0.02083847122545579,1.0555560479316153,0.41724698163872936,0.7975372327048118,0.1584512415254387,0.8415487584745613,1
0.595,0.890975,38.0,0.0,1.1065355392597618,-0.2769800142496562,0.5142238778441481,0.3268019328746471,0.6302639764603993,0.36973602353960067,1
0.84,0.7444,36.935,0.060775000000000017,1.1708315742345297,-0.18693699108550235,0.4539791756760045,0.25155899135008536,0.7563417045551116,0.24365829544488832,1
0.685,0.735775,37.955,0.042975000000000006,-0.1250171235907844,0.9329323131646071,0.3666444558507217,0.5864609673255982,0.23435176063327465,0.7656482393667254,1
0.64,0.9003999999999999,38.0,0.0,1.1609636384195228,-0.2592345456159088,0.5015257521835541,0.311807691182334,0.6331753946204701,0.3668246053795298,1
0.79,0.8059000000000002,37.245,0.184975,0.7575780763195437,3.9999999999999956,0.7089152657490607,1e-06,0.9900007079758286,0.009999292024171408,1
0.825,0.754375,37.005,0.004975,-0.1525387991440188,1.0562875531425628,0.2861666664555801,0.5855687363551295,0.19133232221903929,0.8086676777809607,1
0.795,0.802975,37.255,0.18997499999999998,0.7055698090329098,1.6653072211700846,0.6589882747097823,1.3689540310586208,0.9068180631117162,0.09318193688828377,1
0.8,1.03,37.0,0.0,0.8603814306607261,0.7074543815457945,1.5069004008343043,0.28491246063955594,0.6051618663265547,0.3948381336734453,1
0.84,0.9344,37.0,0.0,1.0280347604977729,0.03310071719579156,0.8744822180660013,0.38871435093141105,0.8110078132679792,0.18899218673202078,1
0.695,0.741975,37.96,0.0384,0.9552339567444458,-0.14161424881386536,0.5766428237857485,0.3558592310967438,0.7627438733767335,0.23725612662326653,1
0.91,0.9118999999999999,36.98,0.01960000000000001,3.3905018911793747,0.786031425465861,0.29253930475504447,0.6199824811084935,0.04759837984961627,0.9524016201503838,1
0.74,0.7624,38.0,0.0,0.596658688738095,1.8247072152616568,0.6098342870223699,0.5848465331122948,0.88327716033528,0.11672283966471994,1
0.65,0.9575,37.925,0.089375,-0.22447745898416208,1.0161542038634792,0.40003641174866544,0.7366556126396532,0.29513530472295,0.70486469527705,1
0.795,0.8929750000000002,37.62,0.23559999999999995,-0.06481640700464177,0.997769727578119,0.3681478059254699,0.8012854584957325,0.1908266266411796,0.8091733733588203,1
0.715,0.6937749999999998,38.0,0.0,1.205532389628635,-0.2007478423861136,0.25909642128825816,0.21745722432330067,0.6511844663237143,0.34881553367628565,1
0.77,0.8371000000000001,38.0,0.0,-0.21782932223667303,1.1962179867178617,0.28436881391722474,0.4728955501867029,0.3014170629361629,0.6985829370638372,1
0.83,0.7611,36.955,0.082975,1.779064215203911,0.7063610428845974,0.6970916718084156,0.6368118878438153,0.1152592444078253,0.8847407555921747,1
0.715,0.8337749999999999,38.0,0.0,-0.2503327888478631,1.1725178905807492,0.29925425219387614,0.43613206343636696,0.3215501789439215,0.6784498210560785,1
0.685,0.835775,37.6,0.24,0.9493895162518102,-0.1230415428004382,0.6912040700564739,0.41105570599924846,0.7534671212474378,0.24653287875256225,1
0.88,0.7356,37.0,0.0,0.6861575508948167,1.9588217561491734,0.5187300415941775,0.5696090945117542,0.8476876710251758,0.15231232897482425,1
0.73,0.7870999999999999,37.56,0.32640000000000013,0.9477203982689023,-0.08242254178445264,0.6754648486299989,0.36675937656409774,0.7886503029787041,0.21134969702129597,1
0.67,0.8011000000000001,37.955,0.042975000000000006,-0.262375038317708,1.1055389450992663,0.31493220712131736,0.43242448147532575,0.3183964418664061,0.681603558133594,1
0.615,0.856775,38.005,0.004975,-0.2522168630785614,1.1435201815840743,0.30753491356693197,0.45383253125697454,0.3786674457091762,0.6213325542908239,1
0.815,0.7307750000000002,37.005,0.004975000000000002,0.528177377813638,2.0,0.4855039775697299,1e-06,0.8051241923702102,0.1948758076297898,1
0.805,0.9269749999999999,37.555,0.5769749999999999,3.6291338423522337,0.7138970748897421,0.24420115206592882,0.683414841445774,0.031250609256535535,0.9687493907434644,1
0.795,0.792975,37.41,0.2419,-0.1164330367269112,1.012009797027951,0.3725006598963839,0.6482069168057887,0.1923090745375697,0.8076909254624303,1
0.8,0.7900000000000001,36.985,0.014775,0.9841213068959364,-0.09316228340511616,0.6677176579335914,0.4210016624006222,0.8290874301311102,0.17091256986888978,1
0.675,0.759375,37.71,0.20589999999999997,0.6205190990081005,1.550427164948971,0.636432974326542,1.9208210481153143,0.9414125944409614,0.0585874055590386,1
